benchmark,title,group,code,family,BU,schedule,range,step,ak_annual_salary,market_target_annual_salary,percentile
3,Office Assistant 1,Administrative and Office Support,PB0102,PB01 ‐ General Administration,GP,200,08,O,51285,53591.0,50
4,Secretary,Administrative and Office Support,PB0130,PB01 ‐ General Administration,XE,N00,11,O,60801,69033.0,50
5,Executive Secretary 3,Administrative and Office Support,PB0137,PB01 ‐ General Administration,XE,N00,16,O,85976,94450.0,50
6,Administrative Assistant 2,Administrative and Office Support,PB0152,PB01 ‐ General Administration,GP,200,14,O,75914,63239.0,50
7,Administrative Officer 1,Administrative and Office Support,PB0154,PB01 ‐ General Administration,SS,200,17,O,94515,83963.0,50
8,Administrative Operations Manager 1,Administrative and Office Support,PB0157,PB01 ‐ General Administration,SS,200,22,O,131893,111853.0,50
9,Accounting Clerk,Administrative and Office Support,PB0202,PB02 ‐ Accounting and Fiscal,GP,200,10,O,57798,55857.0,50
10,Accounting Technician 2,Administrative and Office Support,PB0206,PB02 ‐ Accounting and Fiscal,GP,200,14,O,75914,66177.0,50
11,Accountant 2,Administrative and Office Support,PB0212,PB02 ‐ Accounting and Fiscal,GP,200,16,O,87399,89020.0,50
12,Accountant 4,Administrative and Office Support,PB0214,PB02 ‐ Accounting and Fiscal,SS,200,20,O,115502,110692.0,50
13,Payroll Manager,Administrative and Office Support,PB0230,PB02 ‐ Accounting and Fiscal,KK,200,22,O,132517,127458.0,50
14,Payroll Specialist 1,Administrative and Office Support,PB0231,PB02 ‐ Accounting and Fiscal,KK,200,16,O,88754,87015.0,50
15,Budget Analyst 2,Administrative and Office Support,PB0243,PB02 ‐ Accounting and Fiscal,GP,200,19,O,106763,97743.0,50
16,Budget Analyst 4,Administrative and Office Support,PB0245,PB02 ‐ Accounting and Fiscal,SS,200,22,O,131893,138214.0,50
17,Human Resource Technician 2,Administrative and Office Support,PB0303,PB03 ‐ Personnel and Employee Relations,KK,200,14,O,77272,72945.0,50
18,Payroll Services Supervisor,Administrative and Office Support,PB0305,PB03 ‐ Personnel and Employee Relations,KK,200,17,O,94952,99296.0,50
19,Human Resource Consultant 1,Administrative and Office Support,PB0311,PB03 ‐ Personnel and Employee Relations,KK,200,16,O,88754,96546.0,50
20,Human Resource Consultant 5,Administrative and Office Support,PB0315,PB03 ‐ Personnel and Employee Relations,KK,200,22,O,132517,139199.0,50
21,Labor Relations Analyst 2,Administrative and Office Support,PB0322,PB03 ‐ Personnel and Employee Relations,KK,200,20,O,116085,100747.0,50
22,Labor Relations Manager,Administrative and Office Support,PB0325,PB03 ‐ Personnel and Employee Relations,XE,N00,24,O,147011,157968.0,50
23,Retirement and Benefits Technician 2,Administrative and Office Support,PB0333,PB03 ‐ Personnel and Employee Relations,GP,200,14,O,75914,78847.0,50
24,Retirement and Benefits Specialist 1,Administrative and Office Support,PB0341,PB03 ‐ Personnel and Employee Relations,GP,200,16,O,87399,85105.0,50
25,Alaska Marine Highway System Dispatcher,Administrative and Office Support,PB0351,PB03 ‐ Personnel and Employee Relations,KK,200,15,O,82722,64301.0,50
26,GIS Analyst 2,Administrative and Office Support,PB0496,PB04 ‐ Information Technology,GP,200,17,O,93386,89991.0,50
27,Statistical Technician 2,Administrative and Office Support,PB0503,PB05 ‐ Statistics and Research Analysis,GP,200,14,O,75914,80930.0,50
28,Research Analyst 1,Administrative and Office Support,PB0511,PB05 ‐ Statistics and Research Analysis,GP,200,13,O,70844,77654.0,50
29,Research Analyst 2,Administrative and Office Support,PB0512,PB05 ‐ Statistics and Research Analysis,GP,200,16,O,87399,92413.0,50
30,Research Analyst 3,Administrative and Office Support,PB0513,PB05 ‐ Statistics and Research Analysis,GP,200,18,O,99899,105546.0,50
31,Research Analyst 4,Administrative and Office Support,PB0514,PB05 ‐ Statistics and Research Analysis,SS,200,21,O,123344,138895.0,50
32,"Chief, Health Analytics and Vital Records",Administrative and Office Support,PB0540,PB05 ‐ Statistics and Research Analysis,SS,200,22,O,131893,138380.0,50
33,Demographer,Administrative and Office Support,PB0551,PB05 ‐ Statistics and Research Analysis,GP,200,19,O,106763,,50
34,State Demographer,Administrative and Office Support,PB0552,PB05 ‐ Statistics and Research Analysis,SS,200,22,O,131893,,50
35,Stock and Parts Services 2,Administrative and Office Support,PB0602,PB06 ‐ Supply,LL,2AA,55,O,72342,65604.0,50
36,Supply Technician 1,Administrative and Office Support,PB0611,PB06 ‐ Supply,GP,200,10,O,57798,57424.0,50
37,Contracting Officer 2,Administrative and Office Support,PB0622,PB06 ‐ Supply,GP,200,16,O,87399,83646.0,50
38,Contracting Officer 4,Administrative and Office Support,PB0624,PB06 ‐ Supply,SS,200,22,O,131893,135888.0,50
39,Procurement Specialist 2,Administrative and Office Support,PB0632,PB06 ‐ Supply,GP,200,16,O,87399,83736.0,50
40,Procurement Specialist 5,Administrative and Office Support,PB0635,PB06 ‐ Supply,SS,200,21,O,123344,119647.0,50
41,State Chief Information Officer,Administrative and Office Support,PB0701,PB07 ‐ Office of Information Technology,XE,N00,28,O,175754,206540.0,50
42,Deputy Chief Information Officer,Administrative and Office Support,PB0702,PB07 ‐ Office of Information Technology,XE,N00,27,O,169806,197284.0,50
43,Chief Technology Officer 3,Administrative and Office Support,PB0707,PB07 ‐ Office of Information Technology,XE,N00,26,O,163644,185768.0,50
44,"Staff Manager, OIT",Administrative and Office Support,PB0709,PB07 ‐ Office of Information Technology,XE,N00,25,O,157989,163661.0,50
45,Department Technology Officer 2,Administrative and Office Support,PB0712,PB07 ‐ Office of Information Technology,SS,200,24,O,151029,166423.0,50
46,P3 Manager,Administrative and Office Support,PB0725,PB07 ‐ Office of Information Technology,SS,200,24,O,151029,138795.0,50
47,Application Developer 3,Administrative and Office Support,PB07A3,PB07 ‐ Office of Information Technology,GP,200,22,O,130943,128239.0,50
48,IT Business Analyst 2,Administrative and Office Support,PB07B2,PB07 ‐ Office of Information Technology,GP,200,21,O,122226,114891.0,50
49,IT Client Support Specialist 2,Administrative and Office Support,PB07C2,PB07 ‐ Office of Information Technology,GP,200,16,O,87399,80778.0,50
50,Database Administrator 2,Administrative and Office Support,PB07D2,PB07 ‐ Office of Information Technology,GP,200,23,O,140459,132673.0,50
51,IT Support Technician 1,Administrative and Office Support,PB07E1,PB07 ‐ Office of Information Technology,GP,200,13,O,70844,70867.0,50
52,IT Project Manager 2,Administrative and Office Support,PB07J2,PB07 ‐ Office of Information Technology,SS,200,24,O,151029,141823.0,50
53,IT Manager 1,Administrative and Office Support,PB07M1,PB07 ‐ Office of Information Technology,SS,200,23,O,141357,152714.0,50
54,Network and Telecommunications Specialist 2,Administrative and Office Support,PB07N2,PB07 ‐ Office of Information Technology,GP,200,21,O,122226,114033.0,50
55,IT Policy and Planning Analyst 1,Administrative and Office Support,PB07P1,PB07 ‐ Office of Information Technology,SS,200,23,O,141357,119564.0,50
56,IT Architecture Specialist 1,Administrative and Office Support,PB07R1,PB07 ‐ Office of Information Technology,GP,200,24,O,150540,153952.0,50
57,IT Security Specialist 1,Administrative and Office Support,PB07S1,PB07 ‐ Office of Information Technology,GP,200,24,O,150540,126988.0,50
58,IT Quality Assurance Analyst 2,Administrative and Office Support,PB07U2,PB07 ‐ Office of Information Technology,GP,200,21,O,122226,109991.0,50
59,IT Vendor Manager 2,Administrative and Office Support,PB07V2,PB07 ‐ Office of Information Technology,GP,200,20,O,114192,113323.0,50
60,IT Systems Administrator 2,Administrative and Office Support,PB07Y2,PB07 ‐ Office of Information Technology,GP,200,23,O,140459,124242.0,50
61,Project Assistant,Administrative and Office Support,PB9908,PB99 ‐ Administrative classes not otherwise described,GP,200,16,O,87399,70386.0,50
62,Program Coordinator 1,Administrative and Office Support,PB9909,PB99 ‐ Administrative classes not otherwise described,GP,200,18,O,99899,91967.0,50
63,Program Manager,Administrative and Office Support,PB9912,PB99 ‐ Administrative classes not otherwise described,SS,200,22,O,131893,126715.0,50
64,Business Services Project Manager 1,Administrative and Office Support,PB9915,PB99 ‐ Administrative classes not otherwise described,GP,200,20,O,114192,102917.0,50
281,Fish and Wildlife Technician 3,Biological Sciences,PH0103,PH01 ‐ Fish and Wildlife,GP,200,11,O,61679,69995.0,50
282,Fishery Biologist 2,Biological Sciences,PH0112,PH01 ‐ Fish and Wildlife,SS,200,16,O,88338,95552.0,50
283,Habitat Biologist 2,Biological Sciences,PH0122,PH01 ‐ Fish and Wildlife,GP,200,16,O,87399,91489.0,50
284,Wildlife Biologist 2,Biological Sciences,PH0132,PH01 ‐ Fish and Wildlife,GP,200,16,O,87399,88390.0,50
285,Biometrician 2,Biological Sciences,PH0142,PH01 ‐ Fish and Wildlife,GP,200,19,O,106763,135301.0,50
286,Fish Culturist 1,Biological Sciences,PH0151,PH01 ‐ Fish and Wildlife,GP,200,14,O,75914,,50
287,Fisheries Geneticist 1,Biological Sciences,PH0161,PH01 ‐ Fish and Wildlife,GP,200,17,O,93386,100299.0,50
288,Fisheries Scientist 1,Biological Sciences,PH0166,PH01 ‐ Fish and Wildlife,SS,200,22,O,131893,133186.0,50
289,Agronomist 1,Biological Sciences,PH0211,PH02 ‐ Agriculture,GP,200,16,O,87399,80043.0,50
290,Natural Resource Technician 2,Biological Sciences,PH0302,PH03 ‐ Natural Resources and Forestry,GP,200,12,O,66008,63178.0,50
291,Natural Resource Specialist 2,Biological Sciences,PH0312,PH03 ‐ Natural Resources and Forestry,GP,200,16,O,87399,84921.0,50
292,Natural Resource Manager 1,Biological Sciences,PH0321,PH03 ‐ Natural Resources and Forestry,SS,200,18,O,101130,112313.0,50
293,Wildland Fire and Resource Technician 3,Biological Sciences,PH0353,PH03 ‐ Natural Resources and Forestry,GP,100,12,O,66671,74561.0,50
294,Wildland Forestry Technician 2,Biological Sciences,PH0358,PH03 ‐ Natural Resources and Forestry,GP,100,14,O,76596,,50
295,Forester 2,Biological Sciences,PH0362,PH03 ‐ Natural Resources and Forestry,GP,200,16,O,87399,85771.0,50
296,Fire Management Officer,Biological Sciences,PH0367,PH03 ‐ Natural Resources and Forestry,SS,500,16,O,87422,,50
297,Wildland Fire Support Services 1,Biological Sciences,PH0380,PH03 ‐ Natural Resources and Forestry,LL,2AA,56,O,68266,,50
298,Park Specialist,Biological Sciences,PH0410,PH04 ‐ Parks,GP,200,14,O,75914,68559.0,50
299,Park Ranger 1,Biological Sciences,PH0411,PH04 ‐ Parks,GP,200,16,O,87399,76869.0,50
300,Park Ranger 2,Biological Sciences,PH0412,PH04 ‐ Parks,SS,600,18,O,100131,91489.0,50
301,Park Superintendent,Biological Sciences,PH0420,PH04 ‐ Parks,SS,200,20,O,115502,118105.0,50
302,Museum Protection & Visitor Services Assistant,Biological Sciences,PH0451,PH04 ‐ Parks,GP,200,11,O,61679,63104.0,50
65,Grants Administrator 2,Business Development and Regulation,PC0102,PC01 ‐ Business Finance,GP,200,17,O,93386,100368.0,50
66,Grants Administration Manager,Business Development and Regulation,PC0105,PC01 ‐ Business Finance,SS,200,21,O,123344,125429.0,50
67,Loan Closer/Processor 2,Business Development and Regulation,PC0112,PC01 ‐ Business Finance,GP,200,12,O,66008,60540.0,50
68,Loan/Collection Officer 1,Business Development and Regulation,PC0121,PC01 ‐ Business Finance,GP,200,16,O,87399,62081.0,50
